ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
130014,"Rodney E. ""Rod"" White",Male,23.0,183.0,78.0,United States,USA,2000 Summer,2000,Summer,Sydney,Archery,Archery Men's Team,Bronze
130018,Shaun Roger White,Male,19.0,175.0,70.0,United States,USA,2006 Winter,2006,Winter,Torino,Snowboarding,Snowboarding Men's Halfpipe,Gold
130018,Shaun Roger White,Male,23.0,175.0,70.0,United States,USA,2010 Winter,2010,Winter,Vancouver,Snowboarding,Snowboarding Men's Halfpipe,Gold
130022,Tarnee Renee White (-Southwell),Female,19.0,165.0,58.0,Australia,AUS,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Silver
130022,Tarnee Renee White (-Southwell),Female,27.0,165.0,58.0,Australia,AUS,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold
130032,"Charles Allen ""Charlie"" White, Jr.",Male,22.0,175.0,73.0,United States-1,USA,2010 Winter,2010,Winter,Vancouver,Figure Skating,Figure Skating Mixed Ice Dancing,Silver
130032,"Charles Allen ""Charlie"" White, Jr.",Male,26.0,175.0,73.0,United States-1,USA,2014 Winter,2014,Winter,Sochi,Figure Skating,Figure Skating Mixed Ice Dancing,Gold
130032,"Charles Allen ""Charlie"" White, Jr.",Male,26.0,175.0,73.0,United States,USA,2014 Winter,2014,Winter,Sochi,Figure Skating,Figure Skating Mixed Team,Bronze
130061,Simon St. Quentin Whitfield,Male,25.0,177.0,70.0,Canada,CAN,2000 Summer,2000,Summer,Sydney,Triathlon,Triathlon Men's Olympic Distance,Gold
130061,Simon St. Quentin Whitfield,Male,33.0,177.0,70.0,Canada,CAN,2008 Summer,2008,Summer,Beijing,Triathlon,Triathlon Men's Olympic Distance,Silver
