ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
128757,Jeremy Matthew Wariner,Male,24.0,188.0,71.0,United States,USA,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
128773,Damian Warner,Male,26.0,185.0,83.0,Canada,CAN,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Decathlon,Bronze
128801,Jonas Warrer,Male,29.0,181.0,77.0,Denmark,DEN,2008 Summer,2008,Summer,Beijing,Sailing,Sailing Mixed Skiff,Gold
128810,Justin Warsylewicz,Male,20.0,175.0,73.0,Canada,CAN,2006 Winter,2006,Winter,Torino,Speed Skating,Speed Skating Men's Team Pursuit (8 laps),Silver
128845,Konrad Wasielewski,Male,23.0,194.0,91.0,Poland,POL,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Men's Quadruple Sculls,Gold
128853,Conny Wamuth,Female,25.0,167.0,64.0,Germany,GER,2008 Summer,2008,Summer,Beijing,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Gold
128872,Akito Watabe,Male,25.0,173.0,60.0,Japan,JPN,2014 Winter,2014,Winter,Sochi,Nordic Combined,"Nordic Combined Men's Normal Hill / 10 km, Individual",Silver
128916,Natasha Watcham-Roy,Female,24.0,170.0,67.0,Canada,CAN,2016 Summer,2016,Summer,Rio de Janeiro,Rugby Sevens,Rugby Sevens Women's Rugby Sevens,Bronze
128917,Tara Leigh-Anne Watchorn,Female,23.0,178.0,76.0,Canada,CAN,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
128918,Peter Graham Waterfield,Male,23.0,167.0,65.0,Great Britain,GBR,2004 Summer,2004,Summer,Athina,Diving,Diving Men's Synchronized Platform,Silver
128920,Jason Waterhouse,Male,24.0,185.0,75.0,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Sailing,Sailing Mixed Multihull,Silver
128941,Natasha Watley,Female,22.0,175.0,78.0,United States,USA,2004 Summer,2004,Summer,Athina,Softball,Softball Women's Softball,Gold
128941,Natasha Watley,Female,26.0,175.0,78.0,United States,USA,2008 Summer,2008,Summer,Beijing,Softball,Softball Women's Softball,Silver
128960,"Deborah Kathleen ""Debbie"" Watson",Female,34.0,178.0,71.0,Australia,AUS,2000 Summer,2000,Summer,Sydney,Water Polo,Water Polo Women's Water Polo,Gold
128974,"Joshua John ""Josh"" Watson",Male,23.0,184.0,80.0,Australia,AUS,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Silver
128979,Marcus China Watson,Male,25.0,177.0,88.0,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,Silver
128997,"Mitchell ""Mitch"" Watt",Male,24.0,184.0,83.0,Australia,AUS,2012 Summer,2012,Summer,London,Athletics,Athletics Men's Long Jump,Silver
129042,Stanislas Wawrinka,Male,23.0,183.0,79.0,Switzerland,SUI,2008 Summer,2008,Summer,Beijing,Tennis,Tennis Men's Doubles,Gold
129069,Casey McGhee Weathers,Male,23.0,185.0,99.0,United States,USA,2008 Summer,2008,Summer,Beijing,Baseball,Baseball Men's Baseball,Bronze
129071,"Katherine Marie ""Katie"" Weatherston",Female,22.0,163.0,66.0,Canada,CAN,2006 Winter,2006,Winter,Torino,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
129089,Hollie Webb,Female,25.0,165.0,65.0,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Hockey,Hockey Women's Hockey,Gold
129096,Sarah Kathleen Webb (-Gosling),Female,27.0,176.0,68.0,Great Britain,GBR,2004 Summer,2004,Summer,Athina,Sailing,Sailing Women's Three Person Keelboat,Gold
129096,Sarah Kathleen Webb (-Gosling),Female,31.0,176.0,68.0,Great Britain,GBR,2008 Summer,2008,Summer,Beijing,Sailing,Sailing Women's Three Person Keelboat,Gold
129126,Franziska Weber,Female,23.0,176.0,70.0,Germany,GER,2012 Summer,2012,Summer,London,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Gold
129126,Franziska Weber,Female,23.0,176.0,70.0,Germany,GER,2012 Summer,2012,Summer,London,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Silver
129126,Franziska Weber,Female,27.0,176.0,70.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Silver
129126,Franziska Weber,Female,27.0,176.0,70.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Silver
129157,Shea Michael Weber,Male,24.0,193.0,104.0,Canada,CAN,2010 Winter,2010,Winter,Vancouver,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
129157,Shea Michael Weber,Male,28.0,193.0,104.0,Canada,CAN,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
129164,Garrett Weber-Gale,Male,23.0,188.0,82.0,United States,USA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
129164,Garrett Weber-Gale,Male,23.0,188.0,82.0,United States,USA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
129165,"Monika Weber-Koszto (-Schreck, -Clasen)",Female,34.0,166.0,51.0,Germany,GER,2000 Summer,2000,Summer,Sydney,Fencing,"Fencing Women's Foil, Team",Bronze
129184,"Rowena ""Rowie"" Webster",Female,24.0,178.0,80.0,Australia,AUS,2012 Summer,2012,Summer,London,Water Polo,Water Polo Women's Water Polo,Bronze
129185,Sam Webster,Male,25.0,183.0,80.0,New Zealand,NZL,2016 Summer,2016,Summer,Rio de Janeiro,Cycling,Cycling Men's Team Sprint,Silver
129229,"Elizabeth Jane ""Liz"" Weekes",Female,28.0,180.0,68.0,Australia,AUS,2000 Summer,2000,Summer,Sydney,Water Polo,Water Polo Women's Water Polo,Gold
129236,Ferry Weertman,Male,24.0,189.0,86.0,Netherlands,NED,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 10 kilometres Open Water,Gold
129257,Froukje Wegman,Female,25.0,177.0,70.0,Netherlands,NED,2004 Summer,2004,Summer,Athina,Rowing,Rowing Women's Coxed Eights,Bronze
